impact_id,lon,lat,category,n_ctx,ProductId,UTCstart
1,-100.492,9.051,good,4,P09_004477_1906_XN_10N100W,2007-07-11T07:17:20.082
1,-100.492,9.051,good,4,P13_006178_1907_XN_10N100W,2007-11-20T20:25:44.806
1,-100.492,9.051,good,4,P16_007246_1891_XI_09N100W,2008-02-12T01:55:14.009
1,-100.492,9.051,good,4,B16_015909_1891_XN_09N100W,2009-12-18T03:23:22.986
2,-171.421,25.605,good,6,P06_003451_2035_XN_23N171W,2007-04-22T08:36:42.528
2,-171.421,25.605,good,6,P13_006286_2073_XN_27N171W,2007-11-29T06:30:20.234
2,-171.421,25.605,good,6,P15_006998_2058_XI_25N171W,2008-01-23T18:09:38.063
2,-171.421,25.605,good,6,P18_008000_2054_XN_25N171W,2008-04-10T20:20:44.346
2,-171.421,25.605,good,6,G16_024377_2058_XN_25N171W,2011-10-08T23:34:47.836
2,-171.421,25.605,good,6,J06_047058_2039_XN_23N171W,2016-08-10T06:18:40.769
3,-91.151,14.527,good,8,P03_002169_1937_XI_13N091W,2007-01-12T11:06:25.029
3,-91.151,14.527,good,8,P14_006560_1936_XN_13N091W,2007-12-20T14:53:49.903
3,-91.151,14.527,good,8,P16_007272_1965_XI_16N091W,2008-02-14T02:34:57.021
3,-91.151,14.527,good,8,B17_016291_1946_XN_14N091W,2010-01-16T21:47:42.939
3,-91.151,14.527,good,8,G17_025007_1946_XN_14N091W,2011-11-27T01:45:19.500
3,-91.151,14.527,good,8,G18_025152_1946_XN_14N091W,2011-12-08T08:55:22.721
3,-91.151,14.527,good,8,F05_037811_1935_XN_13N091W,2014-08-20T18:41:36.762
3,-91.151,14.527,good,8,J03_045842_1934_XN_13N091W,2016-05-07T12:06:49.450
4,-86.015,-6.241,junk,13,P03_002103_1721_XN_07S085W,2007-01-07T07:33:53.908
4,-86.015,-6.241,junk,13,P15_006850_1741_XN_05S086W,2008-01-12T05:10:57.312
