cal_id,category,lat,lon_180,lon_360,daubar2013_site,match_dist_deg,diameter_m,ctx_before_id,ctx_before_date,ctx_after_id,ctx_after_date,hirise_id,n_ctx_footprints_at_point,outlier_flag,notes
1,good,9.051,-100.492,259.508,1,0.0022,4.9±0.04,P09_004477_1906,7/11/2007,P13_006178_1907,11/20/2007,PSP_007246_1890,4,,
2,good,25.605,-171.421,188.579,2,0.001,2.1±0.1,P06_003451_2035,4/22/2007,P13_006286_2073,11/29/2007,PSP_006998_2060,6,,
3,good,14.527,-91.151,268.849,3,0.0032,14.7±0.1,P03_002169_1937,1/12/2007,P14_006560_1936,12/20/2007,PSP_007272_1945,8,,
4,junk,-6.241,-86.015,273.985,4,0.0014,1.7±0.03,P03_002103_1721,1/7/2007,P15_006850_1741,1/12/2008,PSP_007496_1735,13,,
5,junk,-2.952,-72.173,287.827,5,0.005,3.2±0.03,P02_001997_1744,12/30/2006,P18_007891_1742,4/2/2008,PSP_010528_1770,10,,
6,good,15.652,-93.784,266.216,6,0.002,4.8±0.1,P12_005558_1952,10/3/2007,P18_007984_1959,4/9/2008,PSP_010621_1960,6,,
7,junk,-1.928,-126.869,233.131,7,0.0,6.4±0.03,P06_003344_1782,4/14/2007,P19_008539_1776,5/22/2008,PSP_010319_1780,6,,
8,good,46.354,176.886,176.886,8,0.0058,8.0±0.4,P20_008699_2247,6/4/2008,P22_009556_2263,8/10/2008,PSP_009978_2265,41,,
9,good,-2.02,-113.431,246.569,9,0.0051,6.6±0.07,B01_009923_1790,9/7/2008,B01_010213_1790,9/30/2008,PSP_010635_1780,7,,
10,faint,-6.018,-123.966,236.034,10,0.001,6.0±0.02,P07_003845_1749,5/23/2007,B05_011743_1731,1/27/2009,ESP_016200_1740,22,,
11,good,2.912,-109.233,250.767,11,0.0028,2.5±0.03,P17_007510_1851,3/3/2008,B05_011782_1818,1/30/2009,ESP_012349_1830,3,,
12,good,11.479,-104.989,255.011,12,0.003,4.8±0.04,P13_005954_1927,11/3/2007,B06_012006_1912,2/17/2009,ESP_013707_1915,8,,
13,good,5.544,177.892,177.892,13,0.0014,11.5±0.06,P02_001790_1871,12/13/2006,B06_012022_1845,2/18/2009,ESP_017969_1855,3,,
