hirise_id,lat,lon_360,lon_180,diameter_m,single_cluster,ice_exposing,halo,mars_year,hirise_date,before_inst,before_id,before_date,after_inst,after_id,after_date,in_any_swath,size_bin,swath_0-10E,swath_80-90E,swath_130-140E,swath_180-190E,swath_300-310E,swath_245-260E,prev_ref
PSP_007561_1290,-50.5988,305.9832,-54.01679999999999,7.0,single,n,y,29,2008-03-07,THEMIS,V18325004,2006-01-31,CTX,P14_006704_1279_XI_52S053W,2007-12-31,True,5-10m,False,False,False,False,True,False,Dundas et al. 2021
PSP_007596_1295,-50.1698,70.1013,70.1013,3.97,cluster,n,n,29,2008-03-10,THEMIS,I17522007,2005-11-26,CTX,P15_006739_1314_XN_48S290W,2008-01-03,False,2-5m,False,False,False,False,False,False,Dundas et al. 2021
PSP_009212_1640,-15.9344,217.3985,-142.6015,2.9,single,n,y,29,2008-07-14,THEMIS,V14497004,2005-03-21,CTX,P19_008566_1645_XN_15S142W,2008-05-24,False,2-5m,False,False,False,False,False,False,Bart et al. 2019
PSP_004770_1710,-8.786,182.6733,-177.3267,14.38,cluster,n,y,28,2007-08-03,MOC NA,M11-03845,2000-01-27,MOC NA,E02-01678,2001-03-19,True,10-20m,False,False,False,True,False,False,
PSP_007879_1725,-7.3832,256.0283,-103.9717,8.0,single,n,y,29,2008-04-01,THEMIS,V13697001,2005-01-15,THEMIS,V26551002,2007-12-09,True,5-10m,False,False,False,False,False,True,Bart et al. 2019
PSP_009265_1730,-7.052,210.263,-149.737,36.2,cluster,n,y,29,2008-07-18,THEMIS,V17742002,2005-12-14,CTX,P19_008263_1749_XI_05S150W,2008-05-01,False,20-50m,False,False,False,False,False,False,
PSP_007496_1735,-6.2423,273.9839,-86.0161,2.091,cluster,n,y,29,2008-03-02,CTX,P03_002103_1721_XN_07S085W,2007-01-07,CTX,P15_006850_1741_XN_05S086W,2008-01-12,False,2-5m,False,False,False,False,False,False,Daubar et al. 2019
PSP_007036_1765,-3.6161,234.2425,-125.7575,17.5171,cluster,n,n,29,2008-01-26,MOC WA,M13-00714,2000-03-11,MOC WA,R07-01236,2003-07-17,False,10-20m,False,False,False,False,False,False,Daubar et al. 2019
PSP_009185_1770,-3.1074,233.1054,-126.8946,10.12,cluster,n,y,29,2008-07-12,THEMIS,V18802001,2006-03-11,CTX,P06_003344_1782_XN_01S126W,2007-04-14,False,10-20m,False,False,False,False,False,False,
PSP_005666_1790,-0.7549,200.0656,-159.9344,10.0,single,n,y,28,2007-10-11,THEMIS,I03951001,2002-11-04,THEMIS,I11228001,2004-06-25,False,5-10m,False,False,False,False,False,False,Bart et al. 2019
PSP_002764_1800,-0.0325,226.9066,-133.0934,29.31,cluster,n,y,28,2007-02-27,THEMIS,I10652014,2004-05-09,MOC WA,S15-01463,2006-02-14,False,20-50m,False,False,False,False,False,False,
PSP_004728_1805,0.4558,247.4432,-112.55680000000001,4.0,single,n,n,28,2007-07-30,MOC NA,E09-00847,2001-10-12,MOC NA,S15-00275,2006-02-03,True,2-5m,False,False,False,False,False,True,
PSP_007499_1810,0.9329,191.7461,-168.2539,37.33,cluster,n,n,29,2008-03-02,MOC NA,M02-03734,1999-06-24,MOC NA,E11-00834,2001-12-05,False,20-50m,False,False,False,False,False,False,
PSP_003754_1815,1.6859,199.3819,-160.6181,11.95,single,n,y,28,2007-05-15,THEMIS,I07720022,2003-09-11,THEMIS,I09405011,2004-01-27,False,10-20m,False,False,False,False,False,False,
PSP_005942_1825,2.4786,224.1045,-135.8955,33.49,cluster,n,y,28,2007-11-02,THEMIS,I10103010,2004-03-25,THEMIS,I10727005,2004-05-15,False,20-50m,False,False,False,False,False,False,
PSP_009305_1830,2.9997,195.6448,-164.3552,7.3917,cluster,n,n,29,2008-07-21,THEMIS,V07820021,2003-09-19,CTX,P20_008804_1816_XN_01N164W,2008-06-12,False,5-10m,False,False,False,False,False,False,Daubar et al. 2019
PSP_010147_1830,3.1551,249.1778,-110.82220000000001,6.22,single,n,y,29,2008-09-25,THEMIS,V15718009,2005-06-30,CTX,P10_004873_1821_XN_02N110W,2007-08-11,True,5-10m,False,False,False,False,False,True,
PSP_007183_1850,4.7709,180.1448,-179.8552,12.0557,cluster,n,y,29,2008-02-07,THEMIS,I09518012,2004-02-06,THEMIS,I18416013,2006-02-07,True,10-20m,False,False,False,True,False,False,Daubar et al. 2019
PSP_010177_1850,5.0086,149.8493,149.8493,3.5927,cluster,n,y,29,2008-09-27,THEMIS,V14461028,2005-03-19,CTX,P16_007250_1841_XI_04N209W,2008-02-12,False,2-5m,False,False,False,False,False,False,Daubar et al. 2019
PSP_003674_1855,5.3526,223.3237,-136.6763,10.61,cluster,n,y,28,2007-05-09,MOC WA,R13-03428,2004-01-22,THEMIS,I10440047,2004-04-22,False,10-20m,False,False,False,False,False,False,
PSP_004030_1855,5.469,224.3526,-135.6474,25.2,single,n,y,28,2007-06-06,MOC WA,M01-05675,1999-06-02,THEMIS,I07457015,2003-08-20,False,20-50m,False,False,False,False,False,False,Bart et al. 2019
PSP_007378_1860,6.1177,254.3412,-105.65880000000001,7.69,cluster,n,y,29,2008-02-22,THEMIS,I05353011,2003-02-28,THEMIS,I06464013,2003-05-30,True,5-10m,False,False,False,False,False,True,
PSP_003172_1870,6.9891,247.9141,-112.08590000000001,36.81,cluster,n,y,28,2007-03-31,THEMIS,I16679016,2005-09-17,MOC NA,S15-02778,2006-02-26,True,20-50m,False,False,False,False,False,True,
ESP_011618_1885,8.6248,46.8301,46.8301,4.48,cluster,n,y,29,2009-01-17,THEMIS,V06477024,2003-05-31,CTX,P11_005421_1898_XI_09N313W,2007-09-22,False,2-5m,False,False,False,False,False,False,
PSP_007246_1890,9.0492,259.5074,-100.49259999999998,5.13,cluster,n,y,29,2008-02-12,CTX,P09_004477_1906_XN_10N100W,2007-07-11,CTX,P13_006178_1907_XN_10N100W,2007-11-20,True,5-10m,False,False,False,False,False,True,
PSP_007009_1905,10.3747,250.2159,-109.7841,20.78,cluster,n,y,29,2008-01-24,MOC NA,R05-01197,2003-05-14,MOC NA,S14-01320,2006-01-12,True,20-50m,False,False,False,False,False,True,
PSP_008300_1905,10.4201,278.408,-81.59199999999998,6.3106,cluster,n,y,29,2008-05-04,MOC NA,E15-00562,2002-04-15,THEMIS,I07942023,2003-09-29,False,5-10m,False,False,False,False,False,False,Daubar et al. 2019
PSP_004123_1915,11.3654,203.5051,-156.4949,9.9091,cluster,n,y,28,2007-06-13,MOC WA,E13-00919,2002-02-11,THEMIS,I07645020,2003-09-04,False,5-10m,False,False,False,False,False,False,Daubar et al. 2019
PSP_007773_1930,12.9786,267.9309,-92.06909999999999,7.35,cluster,n,y,29,2008-03-24,THEMIS,V11050005,2004-06-11,CTX,P16_007127_1939_XN_13N092W,2008-02-02,False,5-10m,False,False,False,False,False,False,
PSP_003527_1940,13.7091,275.6743,-84.32569999999998,16.85,cluster,n,y,28,2007-04-28,THEMIS,I09652013,2004-02-17,MOC WA,S15-02768,2006-02-26,False,10-20m,False,False,False,False,False,False,
PSP_003925_1940,13.8509,208.5816,-151.4184,18.58,cluster,n,y,28,2007-05-29,THEMIS,V12924012,2004-11-12,MOC WA,S14-00672,2006-01-06,False,10-20m,False,False,False,False,False,False,
PSP_007272_1945,14.5242,268.8501,-91.1499,16.03,cluster,n,y,29,2008-02-14,CTX,P03_002169_1937_XI_13N091W,2007-01-12,CTX,P14_006560_1936_XN_13N091W,2007-12-20,False,10-20m,False,False,False,False,False,False,Daubar et al. 2013
PSP_006629_1955,15.2295,184.3175,-175.6825,7.7,single,n,y,29,2007-12-25,MOC WA,M07-01876,1999-09-10,MOC WA,E10-02591,2001-11-17,True,5-10m,False,False,False,True,False,False,Bart et al. 2019
PSP_003780_2000,19.7744,207.4252,-152.5748,10.61,cluster,n,y,28,2007-05-17,THEMIS,I17267007,2005-11-05,MOC WA,S15-01354,2006-02-13,False,10-20m,False,False,False,False,False,False,Daubar et al. 2019
PSP_004038_2005,20.4269,3.2945,3.2945,22.62,cluster,n,y,28,2007-06-07,THEMIS,I02409005,2002-06-30,MOC WA,R05-00630,2003-05-07,True,20-50m,True,False,False,False,False,False,
PSP_003075_2020,21.9584,14.6045,14.6045,24.5,single,n,y,28,2007-03-24,MOC WA,E03-00127,2001-04-02,MOC WA,R12-01350,2003-12-11,False,20-50m,False,False,False,False,False,False,Bart et al. 2019
PSP_008045_2020,22.0167,40.245,40.245,4.2072,cluster,n,y,29,2008-04-14,THEMIS,V11632007,2004-07-29,CTX,P17_007544_2009_XN_20N319W,2008-03-06,False,2-5m,False,False,False,False,False,False,Daubar et al. 2019
PSP_003812_2035,23.087,52.879,52.879,15.62,single,n,y,28,2007-05-20,MOC WA,E01-00237,2001-02-04,MOC WA,S07-01349,2005-06-13,False,10-20m,False,False,False,False,False,False,Daubar et al. 2014
PSP_004374_2040,23.9758,189.2971,-170.7029,6.66,single,n,n,28,2007-07-03,THEMIS,I09680023,2004-02-19,MOC NA,S05-00831,2005-04-15,True,5-10m,False,False,False,True,False,False,
PSP_006758_2050,24.6758,261.5223,-98.47770000000003,15.36,cluster,n,y,29,2008-01-05,THEMIS,I18276013,2006-01-27,THEMIS,I18588008,2006-02-21,False,10-20m,False,False,False,False,False,False,
PSP_004175_2060,25.5007,221.7568,-138.2432,6.48,single,n,y,28,2007-06-17,THEMIS,I02002003,2002-05-28,THEMIS,I09604020,2004-02-13,False,5-10m,False,False,False,False,False,False,Daubar et al. 2014
PSP_005579_2060,25.6007,52.1467,52.1467,21.6612,cluster,n,y,28,2007-10-05,THEMIS,V17834021,2005-12-21,MOC WA,S14-03311,2006-01-31,False,20-50m,False,False,False,False,False,False,Daubar et al. 2019
PSP_006998_2060,25.6044,188.5794,-171.4206,2.1,cluster,n,y,29,2008-01-23,CTX,P06_003451_2035_XN_23N171W,2007-04-22,CTX,P13_006286_2073_XN_27N171W,2007-11-29,True,2-5m,False,False,False,True,False,False,Daubar et al. 2013
PSP_003101_2065,26.1584,23.6275,23.6275,16.73,single,n,y,28,2007-03-26,MOC WA,R12-00786,2003-12-08,THEMIS,I17523014,2005-11-26,False,10-20m,False,False,False,False,False,False,Daubar et al. 2014
PSP_002736_2075,27.0551,268.332,-91.668,16.77,cluster,n,y,28,2007-02-25,MOC WA,R04-01354,2003-04-18,THEMIS,I09540014,2004-02-07,False,10-20m,False,False,False,False,False,False,Bart et al. 2019
