prefix,processed
hit_64_481_3445,0
hit_49_2927_23991,0
hit_668_6527_49727,0
hit_245_1043_6590,0
hit_45_1696_10113,0
hit_96_1168_6889,0
hit_349_4808_38022,0
hit_51_5245_39977,0
hit_507_953_6368,0
hit_51_5455_41506,0
hit_85_933_4148,0
hit_63_7319_58412,0
hit_310_5300_41302,0
hit_205_6597_52277,0
hit_224_5613_43652,0
hit_184_5631_42469,0
hit_52_928_7460,0
hit_91_4964_37341,0
hit_45_844_5940,0
hit_52_427_3404,0
hit_40_5197_39983,0
hit_73_5327_40426,0
hit_184_4660_37908,0
hit_94_1529_11931,0
hit_128_7200_55172,0
hit_95_2612_20945,0
hit_438_5727_44064,0
hit_55_4967_37440,0
hit_82_706_3539,0
hit_483_5672_43942,0
hit_165_304_2416,0
hit_81_5382_43978,0
hit_156_4716_37767,0
hit_199_693_5071,0
hit_53_1150_5819,0
hit_75_4987_37266,0
hit_120_4920_37408,0
hit_50_4634_37849,0
hit_270_5598_44141,0
hit_53_4426_35699,0
hit_106_857_6550,0
hit_83_860_6576,0
hit_424_2528_17745,0
hit_52_5450_43215,0
hit_234_4665_37180,0
hit_123_4313_33265,0
hit_43_5335_42668,0
hit_42_1181_6142,0
hit_92_1042_6620,0
hit_230_5557_41905,0
hit_83_3046_24423,0
hit_143_1284_6894,0
hit_36_6612_52410,0
hit_99_583_3835,0
hit_218_5438_41346,0
hit_117_1141_7887,0
hit_100_1102_5466,0
hit_407_5706_43978,0
