ctxID,wholepath,output_folder,lat_min,lat_max,areakm2_original,areakm2_clipped
G10_022148_0957_XN_84S118W_G09_021726_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G10_022148_0957_XN_84S118W_G09_021726_0957_XN_84S117W,output_-115_-110_-85_-70,-84.482,-84.2953,19.0806,0.0
G09_021726_0957_XN_84S117W_D12_031774_0958_XN_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G09_021726_0957_XN_84S117W_D12_031774_0958_XN_84S118W,output_-115_-110_-85_-70,-84.3702,-84.3038,1.6278,0.0
J09_048494_0994_XN_80S113W_J11_049285_0994_XN_80S110W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J09_048494_0994_XN_80S113W_J11_049285_0994_XN_80S110W,output_-115_-110_-85_-70,-81.4187,-79.8782,144.2785,0.0
P05_002936_0957_XI_84S118W_P10_005046_0956_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_002936_0957_XI_84S118W_P10_005046_0956_XI_84S117W,output_-115_-110_-85_-70,-84.5264,-84.3648,16.0763,0.0
P04_002646_0957_XI_84S118W_P10_005046_0956_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002646_0957_XI_84S118W_P10_005046_0956_XI_84S117W,output_-115_-110_-85_-70,-84.4914,-84.3319,14.1964,0.0
P10_005046_0956_XI_84S117W_J08_048046_0951_XN_84S112W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P10_005046_0956_XI_84S117W_J08_048046_0951_XN_84S112W,output_-115_-110_-85_-70,-85.0,-84.2227,302.9137,0.0
F12_040648_1005_XN_79S111W_J14_050287_1030_XI_77S113W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\F12_040648_1005_XN_79S111W_J14_050287_1030_XI_77S113W,output_-115_-110_-85_-70,-79.6309,-79.014,683.3919,0.0
B09_012983_0976_XN_82S111W_J13_049905_0992_XN_80S115W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B09_012983_0976_XN_82S111W_J13_049905_0992_XN_80S115W,output_-115_-110_-85_-70,-81.7933,-80.2703,636.9524,0.0
F12_040477_1005_XN_79S110W_J14_050287_1030_XI_77S113W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\F12_040477_1005_XN_79S110W_J14_050287_1030_XI_77S113W,output_-115_-110_-85_-70,-79.6309,-78.943,725.7881,0.0
J11_049035_0964_XN_83S115W_J10_048692_0966_XN_83S114W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J11_049035_0964_XN_83S115W_J10_048692_0966_XN_83S114W,output_-115_-110_-85_-70,-83.8382,-83.2059,280.8819,0.0
