wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore,review_status
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_-75_0\G10_022017_1423_XN_37S171W_J14_050170_1446_XN_35S171W,G10_022017_1423_XN_37S171W_J14_050170_1446_XN_35S171W,506750.2629,-2196369.4,2.54E-05,0,0,1,
G:\crater_flux_output_folders\output_-115_-110_50_85\G17_024954_2650_XN_85N120W_D19_034501_2649_XN_84N119W,G17_024954_2650_XN_85N120W_D19_034501_2649_XN_84N119W,30347.31796,-318628.7042,0.000119568,0,0,1,
G:\crater_flux_output_folders\output_130_140_0_75\P02_001765_1860_XN_06N220W_B08_012564_1864_XI_06N219W,P02_001765_1860_XN_06N220W_B08_012564_1864_XI_06N219W,-2370986.162,396579.668,0.000204979,0,0,1,
G:\crater_flux_output_folders\output_130_140_0_75\P02_001976_1861_XI_06N220W_B08_012564_1864_XI_06N219W,P02_001976_1861_XI_06N220W_B08_012564_1864_XI_06N219W,-2370983.291,396578.186,0.000294089,0,0,1,
G:\crater_flux_output_folders\output_130_140_0_75\P07_003822_1858_XI_05N219W_B08_012564_1864_XI_06N219W,P07_003822_1858_XI_05N219W_B08_012564_1864_XI_06N219W,-2370983.574,396578.4715,0.000317235,0,0,1,
G:\crater_flux_output_folders\output_130_140_0_75\P08_004310_1845_XI_04N219W_B08_012564_1864_XI_06N219W,P08_004310_1845_XI_04N219W_B08_012564_1864_XI_06N219W,-2370982.83,396579.0393,0.000321398,0,0,1,
G:\crater_flux_output_folders\output_130_140_0_75\B07_012419_1865_XI_06N219W_B08_012564_1864_XI_06N219W,B07_012419_1865_XI_06N219W_B08_012564_1864_XI_06N219W,-2370983.332,396579.6834,0.000330454,0,0,1,
G:\crater_flux_output_folders\output_-60_-50_0_75\B19_017041_2554_XN_75N060W_F02_036517_2576_XN_77N059W,B19_017041_2554_XN_75N060W_F02_036517_2576_XN_77N059W,19779.12208,-894042.5282,0.000435908,0,0,1,
G:\crater_flux_output_folders\output_-115_-110_50_85\P21_009131_2623_XI_82N116W_G19_025574_2626_XN_82N114W,P21_009131_2623_XI_82N116W_G19_025574_2626_XN_82N114W,7121.63681,-473605.3981,0.000960053,0,0,1,
G:\crater_flux_output_folders\output_-115_-110_50_85\B18_016620_2651_XN_85N120W_G02_018810_2652_XN_85N118W,B18_016620_2651_XN_85N120W_G02_018810_2652_XN_85N118W,26159.8526,-301759.1656,0.001885679,0,0,1,
G:\crater_flux_output_folders\output_0_10_0_75\D20_035223_1948_XN_14N358W_J04_046221_1980_XN_18N358W,D20_035223_1948_XN_14N358W_J04_046221_1980_XN_18N358W,-10580520.03,975259.7098,0.002220199,0,0,0.999985218,
G:\crater_flux_output_folders\output_130_140_-75_0\D13_032357_1444_XN_35S224W_J16_050884_1447_XN_35S223W,D13_032357_1444_XN_35S224W_J16_050884_1447_XN_35S223W,-2600395.007,-2105354.37,0.001134669,0,0,0.999892533,
G:\crater_flux_output_folders\output_0_10_0_75\D18_034062_2484_XI_68N352W_D21_035473_2444_XN_64N352W,D18_034062_2484_XI_68N352W_D21_035473_2444_XN_64N352W,-10194055.65,3894678.987,0.003449578,0,0,0.999177933,
G:\crater_flux_output_folders\output_-110_-100_30_60\F01_036084_2086_XN_28N105W_D22_035662_2086_XN_28N105W,F01_036084_2086_XN_28N105W_D22_035662_2086_XN_28N105W,4412099.491,1778267.793,0.006412256,0,0,0.995073974,
G:\crater_flux_output_folders\output_130_140_-75_0\B18_016731_1747_XN_05S221W_J19_052031_1751_XN_04S222W,B18_016731_1747_XN_05S221W_J19_052031_1751_XN_04S222W,-2505527.007,-230929.2034,0.001252252,0,0,0.992546558,
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\G09_021694_1327_XN_47S355W_J05_046920_1334_XN_46S354W,G09_021694_1327_XN_47S355W_J05_046920_1334_XN_46S354W,-10360618.21,-2734512.739,0.000529794,0,0,0.991886139,
G:\crater_flux_output_folders\output_130_140_-75_0\P12_005787_1779_XN_02S223W_F21_044093_1818_XN_01N223W,P12_005787_1779_XN_02S223W_F21_044093_1818_XN_01N223W,-2586160.52,-39771.07706,0.00063898,0,0,0.989549398,
G:\crater_flux_output_folders\output_-115_-110_50_85\G02_018968_2598_XN_79N113W_J16_051103_2596_XN_79N110W,G02_018968_2598_XN_79N113W_J16_051103_2596_XN_79N110W,7753.2494,-606661.566,0.001408933,0,0,0.92909193,
G:\crater_flux_output_folders\output_80_90_-25_0\B09_013067_1699_XN_10S269W_F05_037633_1724_XN_07S270W,B09_013067_1699_XN_10S269W_F05_037633_1724_XN_07S270W,-5334737.893,-527649.1194,0.003518533,0,0,0.881940603,
G:\crater_flux_output_folders\output_80_90_-25_0\P19_008505_1673_XN_12S276W_J20_052745_1668_XN_13S276W,P19_008505_1673_XN_12S276W_J20_052745_1668_XN_13S276W,-5702750.502,-765943.5746,0.010774177,0,0,0.880378723,
G:\crater_flux_output_folders\output_130_140_-75_0\J13_049935_1058_XN_74S223W_J14_050146_1045_XN_75S222W,J13_049935_1058_XN_74S223W_J14_050146_1045_XN_75S222W,22935.75484,893970.6442,0.000286987,0,0,0.873180568,
G:\crater_flux_output_folders\output_-110_-100_10_30\P04_002644_2052_XI_25N100W_J06_047029_2052_XN_25N099W,P04_002644_2052_XI_25N100W_J06_047029_2052_XN_25N099W,4741967.859,1503293.004,0.001107053,0,0,0.789167464,
G:\crater_flux_output_folders\output_-110_-100_0_10\B07_012362_1912_XI_11N104W_J18_051842_1909_XI_10N104W,B07_012362_1912_XI_11N104W_J18_051842_1909_XI_10N104W,4476692.162,592723.2396,0.005678682,0,0,0.773089111,
G:\crater_flux_output_folders\output_80_90_-25_0\B17_016153_1714_XN_08S280W_D21_035273_1687_XN_11S280W,B17_016153_1714_XN_08S280W_D21_035273_1687_XN_11S280W,-5927446.085,-607046.8144,0.005257194,0,0,0.747635961,
G:\crater_flux_output_folders\output_-60_-50_0_75\G18_025124_2554_XN_75N060W_F02_036517_2576_XN_77N059W,G18_025124_2554_XN_75N060W_F02_036517_2576_XN_77N059W,19782.42117,-894078.9954,0.046134721,0,0,0.72489351,
G:\crater_flux_output_folders\output_-60_-50_-75_0\MOI_000009_0186_XI_18S051W_G22_026654_1593_XN_20S049W,MOI_000009_0186_XI_18S051W_G22_026654_1593_XN_20S049W,7705413.965,-1072179.32,1.332641799,0,0,0.709779918,
G:\crater_flux_output_folders\Impact_flux_project\output_80_90_0_75\P06_003389_2116_XN_31N279W_G01_018790_2108_XN_30N279W,P06_003389_2116_XN_31N279W_G01_018790_2108_XN_30N279W,-5884940.986,1835791.461,9.65341798,4,0.414361008,0.648684502,done
G:\crater_flux_output_folders\output_-115_-110_0_10\B11_013905_1809_XI_00N109W_G10_021975_1809_XI_00N109W,B11_013905_1809_XI_00N109W_G10_021975_1809_XI_00N109W,4149206.256,74864.3891,0.00100168,0,0,0.642250597,
G:\crater_flux_output_folders\output_-115_-110_50_85\G17_024954_2650_XN_85N120W_D18_034079_2649_XN_84N119W,G17_024954_2650_XN_85N120W_D18_034079_2649_XN_84N119W,30713.48124,-317517.5881,1.020831451,0,0,0.630013883,
G:\crater_flux_output_folders\output_-115_-110_50_85\B02_010252_2573_XN_77N115W_B17_016133_2579_XN_77N113W,B02_010252_2573_XN_77N115W_B17_016133_2579_XN_77N113W,8923.675835,-739318.6137,0.001177292,0,0,0.616277695,
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\P17_007684_1799_XI_00S179W_D05_029362_1797_XN_00S179W,P17_007684_1799_XI_00S179W_D05_029362_1797_XN_00S179W,34521.88744,5216.68208,38.37009482,2,0.052123926,0.615098119,done
G:\crater_flux_output_folders\output_-115_-110_50_85\B17_016449_2648_XN_84N118W_G17_024954_2650_XN_85N120W,B17_016449_2648_XN_84N118W_G17_024954_2650_XN_85N120W,20947.89835,-318735.4643,0.365696874,0,0,0.604566514,
G:\crater_flux_output_folders\output_-115_-110_50_85\P13_006191_2620_XN_82N120W_D01_027671_2597_XN_79N112W,P13_006191_2620_XN_82N120W_D01_027671_2597_XN_79N112W,69889.51483,-614712.138,0.000118111,0,0,0.603553414,
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_-75_0\P22_009754_1533_XN_26S178W_B17_016268_1566_XN_23S178W,P22_009754_1533_XN_26S178W_B17_016268_1566_XN_23S178W,87090.85088,-1452437.353,52.25314376,4,0.076550418,0.574974895,done
G:\crater_flux_output_folders\output_130_140_-75_0\P02_001686_1783_XI_01S224W_G07_020832_1772_XN_02S224W,P02_001686_1783_XI_01S224W_G07_020832_1772_XN_02S224W,-2633097.345,-117928.1479,53.11319089,4,0.075310858,0.571111083,done
G:\crater_flux_output_folders\output_0_10_0_75\B20_017250_1898_XN_09N351W_F07_038546_1928_XN_12N352W,B20_017250_1898_XN_09N351W_F07_038546_1928_XN_12N352W,-10179836.22,633364.9012,60.30217638,4,0.066332598,0.564115286,done
G:\crater_flux_output_folders\output_130_140_-75_0\D08_030247_1766_XN_03S222W_J09_048273_1747_XN_05S222W,D08_030247_1766_XN_03S222W_J09_048273_1747_XN_05S222W,-2516866.917,-294316.5741,0.045541949,0,0,0.563212395,
G:\crater_flux_output_folders\output_0_10_0_75\B16_015984_2149_XN_34N351W_G06_020731_2117_XN_31N351W,B16_015984_2149_XN_34N351W_G06_020731_2117_XN_31N351W,-10156421.62,1901486.902,157.7702836,16,0.101413268,0.561688244,done
G:\crater_flux_output_folders\output_80_90_-50_-25\P21_009362_1451_XN_34S275W_B20_017432_1418_XN_38S274W,P21_009362_1451_XN_34S275W_B20_017432_1418_XN_38S274W,-5608834.415,-2206143.158,42.11020389,13,0.308713775,0.561533689,
G:\crater_flux_output_folders\output_-115_-110_50_85\B20_017293_2650_XN_85N120W_D18_034079_2649_XN_84N119W,B20_017293_2650_XN_85N120W_D18_034079_2649_XN_84N119W,28536.96188,-316834.5379,0.037222402,0,0,0.555290103,
G:\crater_flux_output_folders\output_-110_-100_60_85\G01_018414_2598_XN_79N111W_F23_044866_2601_XN_80N112W,G01_018414_2598_XN_79N111W_F23_044866_2601_XN_80N112W,16590.97476,-607654.8384,0.01569117,0,0,0.555283725,
G:\crater_flux_output_folders\output_-115_-110_50_85\G17_024954_2650_XN_85N120W_G19_025587_2650_XN_85N120W,G17_024954_2650_XN_85N120W_G19_025587_2650_XN_85N120W,30442.01536,-318354.0818,0.069508845,0,0,0.554679036,
G:\crater_flux_output_folders\output_-115_-110_50_85\B18_016555_2474_XN_67N109W_J02_045605_2456_XN_65N110W,B18_016555_2474_XN_67N109W_J02_045605_2456_XN_65N110W,4137983.626,3941903.974,0.003085997,0,0,0.552521765,
G:\crater_flux_output_folders\output_-115_-110_50_85\G03_019337_2601_XN_80N114W_G16_024348_2627_XN_82N122W,G03_019337_2601_XN_80N114W_G16_024348_2627_XN_82N122W,-4073.234465,-576364.8946,0.012030202,0,0,0.552137434,
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_-75_0\D21_035243_1410_XI_39S178W_J16_051001_1426_XN_37S177W,D21_035243_1410_XI_39S178W_J16_051001_1426_XN_37S177W,131308.359,-2283552.066,28.26211676,4,0.141532216,0.551499724,done
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B07_012259_1927_XI_12N173W_B17_016149_1907_XI_10N173W,B07_012259_1927_XI_12N173W_B17_016149_1907_XI_10N173W,384987.2591,626977.717,347.1134799,10,0.028809022,0.551236033,done
G:\crater_flux_output_folders\output_-115_-110_50_85\P01_001457_2603_XI_80N115W_G16_024348_2627_XN_82N122W,P01_001457_2603_XI_80N115W_G16_024348_2627_XN_82N122W,-2666.41392,-576372.7703,0.011403545,1,87.69202535,0.550588429,done
G:\crater_flux_output_folders\output_-115_-110_50_85\P18_008208_2604_XN_80N114W_G16_024348_2627_XN_82N122W,P18_008208_2604_XN_80N114W_G16_024348_2627_XN_82N122W,-2466.39166,-576371.6425,0.010986234,0,0,0.55054611,
G:\crater_flux_output_folders\output_-115_-110_50_85\B20_017293_2650_XN_85N120W_B19_017227_2649_XN_84N119W,B20_017293_2650_XN_85N120W_B19_017227_2649_XN_84N119W,28615.91538,-316578.7286,0.174901403,0,0,0.550310493,
G:\crater_flux_output_folders\output_-115_-110_50_85\G16_024348_2627_XN_82N122W_J02_045552_2601_XN_80N114W,G16_024348_2627_XN_82N122W_J02_045552_2601_XN_80N114W,70389.57581,-572064.0144,0.011362383,0,0,0.548037827,
G:\crater_flux_output_folders\output_130_140_-75_0\P01_001620_1749_XI_05S222W_J08_047772_1752_XN_04S222W,P01_001620_1749_XI_05S222W_J08_047772_1752_XN_04S222W,-2517436.953,-283019.3795,240.2645388,0,0,0.546540141,
G:\crater_flux_output_folders\output_-115_-110_50_85\G16_024348_2627_XN_82N122W_J02_045460_2601_XN_80N114W,G16_024348_2627_XN_82N122W_J02_045460_2601_XN_80N114W,70389.57581,-572064.0144,0.011362383,1,88.009705,0.544696391,done
G:\crater_flux_output_folders\output_80_90_-50_-25\B22_018355_1520_XN_28S276W_F02_036618_1509_XN_29S275W,B22_018355_1520_XN_28S276W_F02_036618_1509_XN_29S275W,-5687999.527,-1667574.208,29.18409049,0,0,0.541323423,
G:\crater_flux_output_folders\output_-60_-50_0_75\B02_010527_2557_XI_75N061W_G17_024979_2551_XN_75N060W,B02_010527_2557_XI_75N061W_G17_024979_2551_XN_75N060W,28623.52074,-914713.9093,0.390305328,0,0,0.540681005,
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_-75_0\P15_006814_1510_XN_29S180W_P15_006959_1509_XN_29S179W,P15_006814_1510_XN_29S180W_P15_006959_1509_XN_29S179W,187.43148,-1730849.34,0.498973389,0,0,0.540652692,
G:\crater_flux_output_folders\output_-115_-110_50_85\P21_009131_2623_XI_82N116W_G16_024585_2595_XN_79N110W,P21_009131_2623_XI_82N116W_G16_024585_2595_XN_79N110W,61511.15245,-601393.4054,0.007760429,0,0,0.537608266,
