wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009859_2171_XN_37N173W_B02_010426_2156_XI_35N172W,B01_009859_2171_XN_37N173W_B02_010426_2156_XI_35N172W,430631.132875,2097008.336875,1287.51473388999,416,0.323103098589895,0.360132277011871
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009859_2171_XN_37N173W_B07_012338_2135_XN_33N172W,B01_009859_2171_XN_37N173W_B07_012338_2135_XN_33N172W,430038.288125,2061088.40175,157.553951116897,0,0,0.0247716549783945
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009859_2171_XN_37N173W_B20_017362_2125_XI_32N172W,B01_009859_2171_XN_37N173W_B20_017362_2125_XI_32N172W,424098.101125,2060536.64525,168.19354225199,72,0.428078266477846,0.266269147396088
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009859_2171_XN_37N173W_G07_020975_2201_XN_40N173W,B01_009859_2171_XN_37N173W_G07_020975_2201_XN_40N173W,381436.758125,2304838.575125,197.84838006697,0,0,0.0197391211986542
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009859_2171_XN_37N173W_G22_026922_2201_XN_40N173W,B01_009859_2171_XN_37N173W_G22_026922_2201_XN_40N173W,389143.739875,2304248.66525,436.436162042789,170,0.389518593519601,0.303034037351608
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009859_2171_XN_37N173W_J19_052029_2170_XN_37N173W,B01_009859_2171_XN_37N173W_J19_052029_2170_XN_37N173W,394364.8825,2180819.56225,360.644812053814,56,0.155277431224059,0.333968311548233
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_B21_017942_2431_XN_63N173W,B01_009872_2431_XN_63N172W_B21_017942_2431_XN_63N173W,415201.116435,3728725.929875,1715.95486646647,6,0.00349659546253411,0.371642500162125
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_D01_027502_2431_XN_63N173W,B01_009872_2431_XN_63N172W_D01_027502_2431_XN_63N173W,416504.417445,3729090.72944,1989.47150966296,2,0.00100529210410197,0.358301043510437
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_G02_019155_2437_XI_63N171W,B01_009872_2431_XN_63N172W_G02_019155_2437_XI_63N171W,458986.41807,3732087.074585,288.108814084692,25,0.0867727704875112,0.284497022628784
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_G04_019854_2431_XN_63N173W,B01_009872_2431_XN_63N172W_G04_019854_2431_XN_63N173W,414858.142485,3729386.934215,1950.22435936961,1,0.000512761516486872,0.395320385694504
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_J01_045093_2420_XN_62N171W,B01_009872_2431_XN_63N172W_J01_045093_2420_XN_62N171W,458191.342095,3712749.579695,195.801157908699,8,0.040857776764172,0.279790103435516
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_J01_045159_2446_XN_64N174W,B01_009872_2431_XN_63N172W_J01_045159_2446_XN_64N174W,401525.809665,3752653.039805,6.54235182422705,0,0,0.0976526737213135
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_J01_045370_2418_XN_61N172W,B01_009872_2431_XN_63N172W_J01_045370_2418_XN_61N172W,430594.4109,3711779.8988,683.375388221307,4,0.00585329830272527,0.259556114673615
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_J02_045581_2419_XN_61N173W,B01_009872_2431_XN_63N172W_J02_045581_2419_XN_61N173W,396633.75396,3728305.0073,157.836556356555,0,0,0.324077129364014
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_J02_045726_2446_XN_64N173W,B01_009872_2431_XN_63N172W_J02_045726_2446_XN_64N173W,435841.912335,3734001.492815,2144.76758358025,24,0.0111900236574524,0.341895759105682
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009872_2431_XN_63N172W_J03_045937_2438_XN_63N173W,B01_009872_2431_XN_63N172W_J03_045937_2438_XN_63N173W,396191.00577,3750554.66282,57.0935620995311,3,0.0525453289246537,0.364541202783585
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_B11_013815_2018_XN_21N175W,B01_009912_2015_XN_21N175W_B11_013815_2018_XN_21N175W,245100.07636,1279590.4571,1619.07945169669,0,0,0.015278022736311
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_B17_016360_2017_XN_21N175W,B01_009912_2015_XN_21N175W_B17_016360_2017_XN_21N175W,245100.07636,1278406.89542,1273.53234724402,0,0,0.0270105712115765
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_B18_016505_2017_XN_21N175W,B01_009912_2015_XN_21N175W_B18_016505_2017_XN_21N175W,246636.89497,1278406.89542,1439.97793202107,0,0,0.183757066726685
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_B18_016782_2052_XN_25N175W,B01_009912_2015_XN_21N175W_B18_016782_2052_XN_25N175W,256352.97019,1324254.81407,2.06804472748767,0,0,0.241839498281479
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_D21_035480_2013_XN_21N175W,B01_009912_2015_XN_21N175W_D21_035480_2013_XN_21N175W,262859.54014,1251293.67122,416.162259104557,0,0,0.0394893437623978
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_G23_027120_2020_XN_22N176W,B01_009912_2015_XN_21N175W_G23_027120_2020_XN_22N176W,233774.71957,1261133.53733,209.898153016867,0,0,0.0181528888642788
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_J03_045911_1998_XN_19N175W,B01_009912_2015_XN_21N175W_J03_045911_1998_XN_19N175W,241298.79025,1250961.54932,1648.79465889125,0,0,0.0119431866332889
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009912_2015_XN_21N175W_J04_046412_1999_XN_19N175W,B01_009912_2015_XN_21N175W_J04_046412_1999_XN_19N175W,242355.54175,1261942.70705,2277.77492525517,0,0,0.0191272292286158
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009925_1851_XN_05N170W_B16_016083_1816_XN_01N170W,B01_009925_1851_XN_05N170W_B16_016083_1816_XN_01N170W,552438.5831,245807.013825,166.314471390629,25,0.150317646991052,0.333594679832458
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009925_1851_XN_05N170W_D07_029810_1870_XN_07N171W,B01_009925_1851_XN_05N170W_D07_029810_1870_XN_07N171W,537875.391105,362051.570425,102.199246823537,26,0.254405005986914,0.359709322452545
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009925_1851_XN_05N170W_F10_039555_1843_XI_04N171W,B01_009925_1851_XN_05N170W_F10_039555_1843_XI_04N171W,533310.97084,302075.251255,593.223191725809,0,0,0.120492145419121
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009925_1851_XN_05N170W_F18_042746_1884_XI_08N171W,B01_009925_1851_XN_05N170W_F18_042746_1884_XI_08N171W,528170.221155,359901.20924,53.9486203774736,0,0,0.470901608467102
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009925_1851_XN_05N170W_G20_025999_1867_XN_06N170W,B01_009925_1851_XN_05N170W_G20_025999_1867_XN_06N170W,551546.90362,336562.586265,304.104799764119,54,0.177570364038599,0.362250715494156
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009925_1851_XN_05N170W_J20_052451_1828_XI_02N170W,B01_009925_1851_XN_05N170W_J20_052451_1828_XI_02N170W,558664.02825,277377.36078,372.37528024946,70,0.187982403002439,0.230816245079041
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B01_010149_2265_XI_46N171W,B01_009938_2256_XI_45N170W_B01_010149_2265_XI_46N171W,519200.96224,2736335.23584,296.1857895518,12,0.0405151105262642,0.37839949131012
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B03_010650_2262_XI_46N170W,B01_009938_2256_XI_45N170W_B03_010650_2262_XI_46N170W,554268.64544,2720560.79344,1935.34953629385,26,0.0134342657553164,0.419886767864227
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B03_010861_2264_XI_46N171W,B01_009938_2256_XI_45N170W_B03_010861_2264_XI_46N171W,519853.59408,2735622.4536,319.42979480537,14,0.0438280969016377,0.387950032949448
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B04_011283_2264_XN_46N171W,B01_009938_2256_XI_45N170W_B04_011283_2264_XN_46N171W,518960.36064,2738398.39456,247.799992462276,6,0.0242130757970601,0.384666174650192
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B05_011494_2264_XN_46N171W,B01_009938_2256_XI_45N170W_B05_011494_2264_XN_46N171W,519008.48096,2738115.68768,309.411031631794,23,0.07433477687819,0.324806988239288
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B06_011850_2264_XN_46N171W,B01_009938_2256_XI_45N170W_B06_011850_2264_XN_46N171W,519324.27056,2738076.58992,317.737695537737,6,0.018883500712264,0.392059117555618
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B09_012984_2264_XN_46N171W,B01_009938_2256_XI_45N170W_B09_012984_2264_XN_46N171W,519339.30816,2737784.86048,257.874401561987,7,0.0271449975553986,0.266622394323349
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B16_015885_2228_XN_42N170W,B01_009938_2256_XI_45N170W_B16_015885_2228_XN_42N170W,572295.72032,2575303.59248,294.253956924865,21,0.0713669247457635,0.401869565248489
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B16_015951_2242_XI_44N171W,B01_009938_2256_XI_45N170W_B16_015951_2242_XI_44N171W,529429.53776,2659180.31776,841.157423448457,0,0,0.0104593364521861
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B17_016096_2265_XN_46N171W,B01_009938_2256_XI_45N170W_B17_016096_2265_XN_46N171W,519558.85712,2735718.69424,247.479648489563,4,0.0161629452135281,0.437882959842682
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B17_016241_2239_XN_43N170W,B01_009938_2256_XI_45N170W_B17_016241_2239_XN_43N170W,571703.23888,2588025.40208,896.798429010478,63,0.0702499000466736,0.317471146583557
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B17_016307_2241_XI_44N171W,B01_009938_2256_XI_45N170W_B17_016307_2241_XI_44N171W,529597.95888,2659772.7992,757.809956691379,0,0,0.0959654897451401
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B19_016874_2241_XN_44N171W,B01_009938_2256_XI_45N170W_B19_016874_2241_XN_44N171W,532876.15568,2659478.06224,1604.98672804989,0,0,0.08387441188097
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B19_017230_2227_XN_42N170W,B01_009938_2256_XI_45N170W_B19_017230_2227_XN_42N170W,562247.596,2573201.336,163.02201294339,10,0.061341409171978,0.437460333108902
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B20_017375_2259_XN_45N170W,B01_009938_2256_XI_45N170W_B20_017375_2259_XN_45N170W,558843.08336,2706049.50944,157.654641359094,8,0.0507438279712818,0.358665525913239
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B20_017586_2271_XN_47N171W,B01_009938_2256_XI_45N170W_B20_017586_2271_XN_47N171W,515369.38176,2761995.39648,1023.23002543524,147,0.143662711556448,0.261827200651169
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B21_017652_2242_XI_44N171W,B01_009938_2256_XI_45N170W_B21_017652_2242_XI_44N171W,529477.65808,2659180.31776,793.809940265501,0,0,0.108139537274837
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_B21_018008_2289_XN_48N171W,B01_009938_2256_XI_45N170W_B21_018008_2289_XN_48N171W,513886.6744,2766290.13504,883.838680952598,76,0.0859885425223611,0.344431579113007
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D01_027634_2242_XI_44N171W,B01_009938_2256_XI_45N170W_D01_027634_2242_XI_44N171W,530223.52304,2658885.5808,696.399792802692,0,0,0.0117040881887078
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D02_028056_2263_XN_46N171W,B01_009938_2256_XI_45N170W_D02_028056_2263_XN_46N171W,522283.67024,2722966.80944,487.307982135147,3,0.00615627100310456,0.401699542999268
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D03_028333_2242_XI_44N171W,B01_009938_2256_XI_45N170W_D03_028333_2242_XI_44N171W,529110.74064,2659772.7992,723.97263864975,0,0,0.0111115388572216
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D05_029111_2242_XI_44N171W,B01_009938_2256_XI_45N170W_D05_029111_2242_XI_44N171W,528921.26688,2660960.7696,728.14698762776,0,0,0.0133553296327591
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D15_033014_2261_XN_46N171W,B01_009938_2256_XI_45N170W_D15_033014_2261_XN_46N171W,522352.8432,2719255.52976,656.167498759223,53,0.0807720591163386,0.224276065826416
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D15_033159_2241_XN_44N171W,B01_009938_2256_XI_45N170W_D15_033159_2241_XN_44N171W,529718.25968,2658293.09936,556.348801684574,0,0,0.0139300646260381
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D18_034082_2261_XN_46N171W,B01_009938_2256_XI_45N170W_D18_034082_2261_XN_46N171W,522903.21936,2719709.66528,685.435012704058,20,0.0291785503064681,0.335602939128876
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D18_034148_2242_XI_44N171W,B01_009938_2256_XI_45N170W_D18_034148_2242_XI_44N171W,529089.688,2660070.54368,745.161977778838,0,0,0.0121215796098113
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_D20_035216_2242_XI_44N171W,B01_009938_2256_XI_45N170W_D20_035216_2242_XI_44N171W,529619.01152,2660070.54368,680.075311429474,0,0,0.0106667876243591
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F01_035994_2242_XI_44N171W,B01_009938_2256_XI_45N170W_F01_035994_2242_XI_44N171W,529889.68832,2660070.54368,676.731816188679,0,0,0.0121465222910047
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F02_036416_2295_XN_49N171W,B01_009938_2256_XI_45N170W_F02_036416_2295_XN_49N171W,524136.30256,2797345.78656,477.145798642185,12,0.0251495455564073,0.447267055511475
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F02_036627_2242_XI_44N171W,B01_009938_2256_XI_45N170W_F02_036627_2242_XI_44N171W,529384.42496,2660368.28816,716.187636096352,0,0,0.0130864130333066
G:\crater_flux_output_folders\Impact_flux_project\output_-180_-170_0_75\B01_009938_2256_XI_45N170W_F04_037550_2241_XI_44N171W,B01_009938_2256_XI_45N170W_F04_037550_2241_XI_44N171W,529916.756,2659180.31776,663.611136349611,0,0,0.107408657670021
