wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009876_2188_XN_38N279W_N06_064600_2165_XI_36N280W,B01_009876_2188_XN_38N279W_N06_064600_2165_XI_36N280W,-5922546.67947,2273800.10919,199.642420348978,0,0,0.126019924879074
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009876_2188_XN_38N279W_N06_064745_2180_XN_38N279W,B01_009876_2188_XN_38N279W_N06_064745_2180_XN_38N279W,-5885975.011275,2255558.43274,82.1951910238977,0,0,0.150331526994705
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009876_2188_XN_38N279W_N10_066209_2180_XN_38N279W,B01_009876_2188_XN_38N279W_N10_066209_2180_XN_38N279W,-5885975.011275,2255360.484665,77.1430961626073,0,0,0.137797102332115
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009876_2188_XN_38N279W_U16_077235_2204_XN_40N280W,B01_009876_2188_XN_38N279W_U16_077235_2204_XN_40N280W,-5906241.8488,2285954.120995,2559.74044100219,0,0,0.0254823919385672
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_K05_055461_2205_XN_40N272W,B01_009889_2210_XI_41N272W_K05_055461_2205_XN_40N272W,-5463348.81047,2384161.046335,3835.06848153795,300,0.0782254610169812,0.289622932672501
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_N02_063136_2198_XI_39N271W,B01_009889_2210_XI_41N272W_N02_063136_2198_XI_39N271W,-5453638.770045,2342744.27179,421.790784636918,150,0.35562654629622,0.344877958297729
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U03_071960_2188_XN_38N272W,B01_009889_2210_XI_41N272W_U03_071960_2188_XN_38N272W,-5457569.793975,2284607.42461,1522.86408777465,180,0.118198335258554,0.429638385772705
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U03_072039_2188_XN_38N272W,B01_009889_2210_XI_41N272W_U03_072039_2188_XN_38N272W,-5458524.6391,2285324.29295,1566.85886989435,0,0,0.0345010794699192
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U03_072250_2188_XN_38N272W,B01_009889_2210_XI_41N272W_U03_072250_2188_XN_38N272W,-5457560.98002,2284607.42461,1501.95448785182,394,0.262324859499253,0.305804491043091
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U12_075718_2217_XN_41N272W,B01_009889_2210_XI_41N272W_U12_075718_2217_XN_41N272W,-5490175.551505,2433181.32606,8046.17685212687,0,0,0.0892292559146881
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U16_077116_2212_XN_41N272W,B01_009889_2210_XI_41N272W_U16_077116_2212_XN_41N272W,-5482195.984245,2425950.944975,1486.87184103999,0,0,0.189251974225044
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U17_077459_2242_XN_44N272W,B01_009889_2210_XI_41N272W_U17_077459_2242_XN_44N272W,-5488377.504685,2507735.63342,2291.14715628823,124,0.054121359974488,0.370664477348328
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U18_077815_2242_XN_44N272W,B01_009889_2210_XI_41N272W_U18_077815_2242_XN_44N272W,-5481664.20896,2508625.842875,699.3931285742,0,0,0.212787613272667
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_U21_079305_2233_XN_43N273W,B01_009889_2210_XI_41N272W_U21_079305_2233_XN_43N273W,-5520701.215655,2547510.07435,331.853309316054,83,0.250110508679459,0.314324200153351
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_V16_086254_2224_XN_42N273W,B01_009889_2210_XI_41N272W_V16_086254_2224_XN_42N273W,-5525146.38696,2541660.546215,0.933610713841936,0,0,0
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_V16_086399_2209_XN_40N271W,B01_009889_2210_XI_41N272W_V16_086399_2209_XN_40N271W,-5441854.51221,2297111.48877,6.74485402917981,0,0,0.0622448585927486
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_V17_086755_2167_XN_36N271W,B01_009889_2210_XI_41N272W_V17_086755_2167_XN_36N271W,-5450900.568025,2285891.324055,1182.7549528296,679,0.574083412946677,0.322963148355484
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009889_2210_XI_41N272W_V21_088100_2191_XN_39N271W,B01_009889_2210_XI_41N272W_V21_088100_2191_XN_39N271W,-5449737.125965,2297869.4889,652.836268680068,163,0.249679755583372,0.412995994091034
G:\crater_flux_output_folders\Impact_flux_project\output_new_80_90_0_75\B01_009942_2089_XI_28N277W_K23_062543_2082_XN_28N277W,B01_009942_2089_XI_28N277W_K23_062543_2082_XN_28N277W,-5782274.15394,1658533.6731,1046.32414815758,5,0.00477863385720787,0.446507304906845
